case_id,event_n,activity_code,activity_name,start_time,stop_time,sex_label,PEEDUCA,education_label,GEREG,region_label,TUDIARYDAY,weekday_label,is_weekend
'20100111090839,14,15,"Attending meetings, conferences, & training",16:12:00,16:13:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,15,15,"Attending meetings, conferences, & training",16:13:00,16:32:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,16,12,Socializing and communicating with others,16:32:00,17:32:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,17,12,Socializing and communicating with others,17:32:00,18:32:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,18,16,Waiting associated with telephone calls,18:32:00,18:34:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,19,12,Socializing and communicating with others,18:34:00,20:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,20,16,Waiting associated with telephone calls,20:00:00,20:45:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,21,18,Travel related to personal care,20:45:00,20:55:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,22,7,Security procedures rel. to consumer purchases,20:55:00,21:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,23,18,Travel related to personal care,21:00:00,21:10:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,24,12,Socializing and communicating with others,21:10:00,21:25:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,25,4,Physical care for nonhh children,21:25:00,21:26:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,26,18,Travel related to personal care,21:26:00,21:41:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,27,4,Physical care for nonhh children,21:41:00,21:43:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,28,18,Travel related to personal care,21:43:00,21:58:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,29,16,Waiting associated with telephone calls,21:58:00,22:58:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,30,1,Sleeping,22:58:00,08:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,1,1,Sleeping,04:00:00,08:00:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,2,11,Eating and drinking,08:00:00,08:20:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,3,1,Sleeping,08:20:00,08:40:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,4,18,Travel related to personal care,08:40:00,08:55:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,5,5,"Work, main job",08:55:00,12:00:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090858,6,18,Travel related to personal care,12:00:00,12:05:00,Male,44,Master’s degree,3,South,7,Saturday,TRUE
